title_id,title_name,genre,release_year,age_rating,popularity_score,description
1,Action Chronicles 1,Action,2009,R,0.897,"An engaging action story that captivates audiences. Released in 2009, this title has received critical acclaim."
2,Thriller Journey 2,Thriller,2016,PG,0.879,"An engaging thriller story that captivates audiences. Released in 2016, this title has received critical acclaim."
3,Thriller Tales 3,Thriller,2008,PG-13,0.833,"An engaging thriller story that captivates audiences. Released in 2008, this title has received critical acclaim."
4,Comedy Journey 4,Comedy,1990,R,0.727,"An engaging comedy story that captivates audiences. Released in 1990, this title has received critical acclaim."
5,Documentary Chronicles 5,Documentary,2003,R,0.771,"An engaging documentary story that captivates audiences. Released in 2003, this title has received critical acclaim."
6,Drama Secrets 6,Drama,1997,R,0.997,"An engaging drama story that captivates audiences. Released in 1997, this title has received critical acclaim."
7,Fantasy Journey 7,Fantasy,2013,NC-17,0.875,"An engaging fantasy story that captivates audiences. Released in 2013, this title has received critical acclaim."
8,Comedy Tales 8,Comedy,1998,R,0.871,"An engaging comedy story that captivates audiences. Released in 1998, this title has received critical acclaim."
9,Documentary Journey 9,Documentary,2002,PG-13,0.958,"An engaging documentary story that captivates audiences. Released in 2002, this title has received critical acclaim."
10,Horror Tales 10,Horror,2004,NC-17,0.869,"An engaging horror story that captivates audiences. Released in 2004, this title has received critical acclaim."
11,Romance Legacy 11,Romance,2019,PG-13,0.911,"An engaging romance story that captivates audiences. Released in 2019, this title has received critical acclaim."
12,Crime Chronicles 12,Crime,2021,PG,0.832,"An engaging crime story that captivates audiences. Released in 2021, this title has received critical acclaim."
13,Mystery Journey 13,Mystery,2023,R,0.993,"An engaging mystery story that captivates audiences. Released in 2023, this title has received critical acclaim."
14,Horror Journey 14,Horror,2020,G,0.833,"An engaging horror story that captivates audiences. Released in 2020, this title has received critical acclaim."
15,Animation Tales 15,Animation,2020,G,0.869,"An engaging animation story that captivates audiences. Released in 2020, this title has received critical acclaim."
16,Drama Legacy 16,Drama,1990,G,0.751,"An engaging drama story that captivates audiences. Released in 1990, this title has received critical acclaim."
17,Horror Quest 17,Horror,2015,PG-13,0.952,"An engaging horror story that captivates audiences. Released in 2015, this title has received critical acclaim."
18,Documentary Legacy 18,Documentary,2020,G,0.828,"An engaging documentary story that captivates audiences. Released in 2020, this title has received critical acclaim."
19,Action Quest 19,Action,2023,PG,0.838,"An engaging action story that captivates audiences. Released in 2023, this title has received critical acclaim."
20,Mystery Tales 20,Mystery,1993,NC-17,0.922,"An engaging mystery story that captivates audiences. Released in 1993, this title has received critical acclaim."
21,Animation Quest 21,Animation,1994,PG-13,0.971,"An engaging animation story that captivates audiences. Released in 1994, this title has received critical acclaim."
22,Animation Quest 22,Animation,2000,PG-13,0.906,"An engaging animation story that captivates audiences. Released in 2000, this title has received critical acclaim."
23,Action Chronicles 23,Action,2006,NC-17,0.725,"An engaging action story that captivates audiences. Released in 2006, this title has received critical acclaim."
24,Sci-Fi Legacy 24,Sci-Fi,2007,R,0.712,"An engaging sci-fi story that captivates audiences. Released in 2007, this title has received critical acclaim."
25,Romance Journey 25,Romance,2020,R,0.992,"An engaging romance story that captivates audiences. Released in 2020, this title has received critical acclaim."
26,Crime Secrets 26,Crime,2012,PG-13,0.943,"An engaging crime story that captivates audiences. Released in 2012, this title has received critical acclaim."
27,Drama Quest 27,Drama,2018,PG-13,0.854,"An engaging drama story that captivates audiences. Released in 2018, this title has received critical acclaim."
28,Romance Journey 28,Romance,2004,PG-13,0.744,"An engaging romance story that captivates audiences. Released in 2004, this title has received critical acclaim."
